Title,Published,Sentiment Score,inverted_score,skewed_score,inverted_skewed_score
Apple Makes Autonomous Driving Breakthrough,"11/23/2017, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Hyundai celebrates driverless breakthrough,"02/06/2018, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Will self-driving cars be able to diagnose and repair themselves? Yes. No. Sort of,"02/09/2018, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
"In Driverless Cars, Communications Failures Could Be Disastrous","03/05/2018, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Self-Driving Cars Still Don't Know How to See,"03/20/2018, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Self-driving vehicle’s failure to pick out pedestrian may have led to fatality,"03/21/2018, 07:00 AM, +0000 UTC",0.05,0.95,0.0025,0.9025
"Uber crash shows 'catastrophic failure' of self-driving technology, experts say","03/22/2018, 07:00 AM, +0000 UTC",0.05,0.95,0.0025,0.9025
Failure of Automated Driving Technology Blamed for First Pedestrian Fatality,"03/25/2018, 07:00 AM, +0000 UTC",0.0,1.0,0.0,1.0
Peter Thiel-backed Palo Alto startup claims self-driving sensor breakthrough,"04/12/2018, 07:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
The Technology That Can Turn the Bus Around,"05/09/2018, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
"Uber’s Self-Driving Car Didn’t Malfunction, It Was Just Bad","05/24/2018, 07:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
Behind the Uber Self-Driving Car Crash: a Failure to Communicate,"05/25/2018, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Elon Musk’s Bombshell Tweets About Taking Tesla Private Trigger SEC Review,"08/08/2018, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
"Tesla’s stock price falls, wiping out Elon Musk’s tweet-fueled rally in just two days","08/09/2018, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Isuzu taps Nvidia for truck self-driving breakthrough,"10/23/2018, 07:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Velodyne Lidar to Present Breakthrough Technology for Autonomy and Driver Assistance at Consumer Electronics Show (CES) 2019,"01/04/2019, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
A new study finds a potential risk with self-driving cars: failure to detect dark-skinned pedestrians,"03/06/2019, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
How regulations propel autonomous vehicle breakthroughs,"03/06/2019, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"Breakthrough could enable infrared cameras for electronics, self-driving cars","03/07/2019, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"Looking for Age Differences in Self-Driving Vehicles: Examining the Effects of Automation Reliability, Driving Risk, and Physical Impairment on Trust","04/26/2019, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
"Tesla to enable cross-border importation, but to what extent?","07/10/2019, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Self-Driving Cars Will Vastly Reduce WC Injuries — If We Can Just Get People to Use Them,"08/21/2019, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
5G provides breakthrough for driverless car tests,"09/13/2019, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Stargazers make breakthrough for self-driving cars,"10/06/2019, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Airless tyre manufacturers hoping for breakthrough in demand with autonomous driving vehicles,"10/28/2019, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
NTSB Investigation Into Deadly Uber Self-Driving Car Crash Reveals Lax Attitude Toward Safety,"11/07/2019, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
"The Failure of Uber's Self-Driving Car, Polestar's Debut, and More Car News This Week","11/10/2019, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Uber Reportedly Removed Critical Auto-Braking System on Self-Driving Test Car,"11/19/2019, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
"U.S. Safety Agency Faults Uber, Driver in Probe of 2018 Autonomous Car Crash Death","11/20/2019, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Tesla Cybertruck disappoints Wall St but finds support from EV community over price and features,"11/22/2019, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Elon Musk's fortune hit after Tesla Cybertruck launch fiasco,"11/24/2019, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Self-driving cars? This is the automotive fail of the decade,"12/30/2019, 08:00 AM, +0000 UTC",0.0,1.0,0.0,1.0
Bosch thinks its new lidar system is the breakthrough self-driving cars need,"01/02/2020, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Manufacturers Are Struggling To Supply Electric Vehicles With Batteries,"03/25/2020, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
EV battery makers up the ante as competition intensifies,"06/24/2020, 07:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
UM achieves breakthroughs in autonomous driving research – Macao SAR Government Portal,"07/08/2020, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla's Latest Tech Breakthrough Will Change Everything,"07/11/2020, 07:00 AM, +0000 UTC",0.9,0.0999999999999999,0.81,0.0099999999999999
Musk outlines output upgrades through efficiency,"07/31/2020, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Aurrigo makes breakthrough in driverless pods technology,"09/04/2020, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Chinese tech giant Baidu showcases fully automated driving,"09/24/2020, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Army’s tech breakthrough: Small autonomous vehicles to trick enemy before tank ambush,"10/20/2020, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Helm.ai Wins “Autonomous Driving Solution of the Year” Designation in 2020 AutoTech Breakthrough Awards Program,"11/17/2020, 08:00 AM, +0000 UTC",0.9,0.0999999999999999,0.81,0.0099999999999999
Electric vehicle battery cost officially dips under critical $100/kWh price point but there's a catch,"12/16/2020, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
"Apple is allegedly working on a passenger car, breakthrough battery tech","12/21/2020, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Apple eyes autonomous electric car to rival Tesla with “breakthrough” battery,"12/22/2020, 08:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Exclusive: Apple targets car production by 2024 and eyes 'next level' battery technology - sources,"12/22/2020, 08:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Elon Musk has a new title: world’s richest person,"01/07/2021, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Bitcoin’s turn: Elon Musk updated his Twitter bio and triggered a surge in the crypto,"01/29/2021, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Bitcoin: why a wave of huge companies like Tesla rushing to invest could derail the stock market,"02/11/2021, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Global semiconductor shortage could stymie EV manufacturers in 2021,"02/12/2021, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Bitcoin: Elon Musk loses world's richest title as Tesla falters,"02/23/2021, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Elon Musk loses world’s richest title. One tweet costs him $15 billion,"02/23/2021, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Can Xiaomi repeat its smartphone exploits with electric vehicles?,"03/31/2021, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
A Warning System for Self-Driving Cars Learns from Failures,"04/02/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Deep Learning for Autonomous Driving: A Breakthrough in Urban Navigation,"04/05/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Xpeng puts into production what Elon Musk calls ‘fool’s errand’,"04/14/2021, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Automated Driving and Other Failures of AI,"04/20/2021, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Breakthrough New Lidar Technology Gives Argo AI the Edge in Autonomous Delivery and Ride-Hail Services,"05/04/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Dogecoin’s value is soaring. Is it time to take it seriously?,"05/05/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Self-driving technology company Argo AI makes lidar breakthrough,"05/05/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
A Promising Breakthrough in LiDAR Sensors in Korea could be a huge benefit to Apple's Project Titan and Autonomous Vehicles in General,"05/10/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Elon Musk Just Tanked His Second Cryptocurrency in a Week,"05/13/2021, 07:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
Elon Musk blames bureaucracy for Tesla's German Gigafactory delays,"05/17/2021, 07:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
Extent of Elon Musk's influence on cryptocurrency; where is it headed?,"05/28/2021, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
‘Anonymous’ Hacking Group Threatens Elon Musk After Musk’s Tweets Affect Bitcoin Value,"06/06/2021, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Breakthrough Technology Simulates Human Eyes’ Vision for Self-Driving Cars,"06/09/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
5 Breakthrough EV Technologies to Enhance Driver’s Experience,"06/23/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
WABCO and ZF unveil breakthrough technology for Commercial Vehicles,"06/25/2021, 04:55 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla lobbying effort in India could result in EV import duties getting slashed,"08/09/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
"Tesla turns Gigafactory Shanghai into its new ‘export hub,’ and July numbers are showing it","08/10/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla Under Federal Investigation for Autopilot Failures,"08/24/2021, 07:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
Exports to grid being capped at 4kw,"09/06/2021, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Shiba inu took 14 months to hit a market value of $12 billion. It took dogecoin 6 times as long to reach that milestone.,"10/07/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
"SOS please help, difference between tesla app reported net power export and what PGE bill says","10/11/2021, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
"Tesla EV sales boom in Singapore, pushing rivals' models off the streets","10/27/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"Tesla launches new solar roof tiles with more power, higher efficiency","11/01/2021, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla CEO Elon Musk’s net worth crosses $300 bn-mark; challenges WFP director David Beasley,"11/01/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
VW CEO explains why it needs to be more like Tesla: Giga Berlin will produce 90 cars/hour on 1 line,"11/05/2021, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Elon Musk: Tesla boss sells $5bn of shares after Twitter poll,"11/11/2021, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Elon Musk Sells Additional Tesla Stock Worth More Than $1.2 Billion,"11/12/2021, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
JPMorgan Fights Tesla Over Warrants,"11/16/2021, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
"Toyota Is The Gold Standard In Production Efficiency, Is Tesla Catching Up?","11/30/2021, 08:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Why Tesla (TSLA) Skyrocketed During the Pandemic,"12/02/2021, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"UK electric car sales surge, but competition for charging spots intensifies","12/09/2021, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
Tesla in 2022 is going to be about growth and battery cells,"12/31/2021, 08:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
"Volatility Ruled Crypto Markets in 2021, From $69K Bitcoin to Elon Musk’s ‘Dogecoin to the Moooonn’","12/31/2021, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
Explainer: How Tesla weathered global supply chain issues that knocked rivals,"01/04/2022, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Tesla exporting Model 3 from China to Europe with Glovis,"01/11/2022, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
How Long Does It Take for a Tesla Gigafactory to Build a Model Y?,"01/13/2022, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Explainer: Why there are no Tesla cars in India yet,"01/18/2022, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Cadillac’s Latest Autonomous Concept Hints at a Breakthrough,"01/19/2022, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Is Dogecoin’s Performance Dependent On Elon Musk’s Mood? - Meme Stock Maven,"01/20/2022, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
AI Weekly: Watson Health and semi-autonomous driving failures show the dangers of overpromising AI,"01/21/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Tesla's Unbelievable Factory Efficiency Deserves More Attention,"02/04/2022, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
What a safety debate about self-driving cars means for self-flying aircraft,"02/09/2022, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
"Elon Musk links Tesla's current legal and regulatory troubles to its disruptiveness, lack of ads, and political contributions","02/14/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
"Autobrains nabs $19M, bringing its Series C to $120M, to take on Mobileye in autonomous driving tech","03/10/2022, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Breakthrough in LiDAR Technology Allows for Cheaper Autonomous Vehicles,"03/15/2022, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
How auto regulators played mind games with Elon Musk,"03/27/2022, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Could The Self-Driving Car Incident in '9-1-1' Really Happen?,"03/31/2022, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Elon Musk proposes to buy Twitter for $43 billion and make it his private property,"04/15/2022, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
India says Tesla should not import cars from China for domestic sale,"04/26/2022, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Elon musk sells billions of dollars in Tesla shares,"04/28/2022, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
"Supply chain constraints could limit electric vehicle adoption, Elon Musk says","05/03/2022, 07:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
Tesla's Shanghai plant sees first vehicle exports since resuming production,"05/10/2022, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Consumer Skepticism Toward Autonomous Driving Features Justified,"05/12/2022, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
The problem with self-driving cars,"05/14/2022, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Could cosmic rays be a potential cause of electronic failures in autonomous vehicles?,"05/16/2022, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Tesla blames China lockdowns & supply disruption for Q2 woes,"07/04/2022, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
The world needs 2 billion electric vehicles to get to net zero. But is there enough lithium to make all the batteries?,"07/20/2022, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Tesla aims to start 4680 battery cell production at Gigafactory Texas this quarter,"07/21/2022, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Race to Net Zero: The Pressures of the Battery Boom in Five Charts,"07/21/2022, 07:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
Panasonic to increase EV battery production for Tesla by 10%,"08/15/2022, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Report: Panasonic To Boost Production At Tesla Gigafactory In Nevada,"08/16/2022, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla Supercharger Network faces legal challenges in Germany,"08/17/2022, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
"Lucid Air Pure undercuts the Model S in price and efficiency, and it's nearing production","09/03/2022, 07:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Drivers Sue Tesla Over Alleged Failure to Deliver on Promises of Self-Driving Cars,"09/16/2022, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
"Tesla opens Model Y orders in Taiwan, vehicles expected to be imported from Giga Berlin","09/23/2022, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Wayve is driving forward into the AV2.0 future,"09/27/2022, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
A London company has developed a breakthrough in self-driving car tech,"09/28/2022, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
What Can Be Done To Increase Autonomous Driving Safety?,"10/11/2022, 02:45 PM, +0000 UTC",0.5,0.5,0.25,0.25
Automotive & Transportation Technology Innovators Honored in Third Annual AutoTech Breakthrough Awards Program,"10/13/2022, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Power spike: How battery makers can respond to surging demand from EVs,"10/18/2022, 07:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
"Toyota struggles with EV shift, considers changing plans due to Tesla","10/24/2022, 07:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
"Tesla plans to import China-made electric cars to US, says questionable report","11/11/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Tesla mulls exporting China-made EVs to United States,"11/12/2022, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
"Exclusive: Tesla has considered exporting EVs from Shanghai to U.S., Canada","11/12/2022, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
Tesla’s Elon Musk rules out China exports to the US,"11/14/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Volkswagen's Upcoming Tesla-Rivaling Project Trinity Under Review,"11/17/2022, 08:00 AM, +0000 UTC",0.5,0.5,0.25,0.25
South Korean capital launches self-driving bus experiment,"11/25/2022, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Seoul opens first self-driving bus route to coax public into warming up to driverless vehicles,"11/26/2022, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Tesla Stock Heads For Worst Year Ever,"11/30/2022, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
Mercedes-Benz and Bosch Make Driverless Parking Breakthrough,"12/02/2022, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
How Will Magna's Breakthrough Lighting Change Driving Forever?,"12/05/2022, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla expands Model Y to Taiwan with tricky China imports in focus,"12/06/2022, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
"Tesla Says Its Self-Driving Tech May Be a ‘Failure,’ but Not Fraud","12/09/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Tesla: Our ‘failure’ to make actual self-driving cars ‘is not fraud’,"12/12/2022, 08:00 AM, +0000 UTC",0.35,0.65,0.1224999999999999,0.4225
"After $700 billion drop, angry Tesla investors say Elon Musk has ""abandoned"" them","12/15/2022, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
Elon Musk Has Sold Nearly $40 Billion of Tesla Stock in 14 Months,"12/16/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
Tesla Stock Falls Despite Elon Musk's Search for New Twitter CEO,"12/20/2022, 08:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
Tesla Stock Down 50% On The Year: To Buy Or Not To Buy?,"12/20/2022, 08:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
"Tesla has surpassed Apple as retail investors' favorite stock in 2022, research firm says","12/21/2022, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
"'Big Short' Michael Burry Called Crash in Tesla Stock, Down Almost 70%","12/21/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Here’s How Tesla Stock’s 69% Crash In 2022 Compares To Other Slumping Stocks,"12/23/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Stock Market News Today: Dow Rises 100 Points On Inflation Data; Tesla Stock Falls,"12/23/2022, 08:00 AM, +0000 UTC",0.55,0.4499999999999999,0.3025,0.2024999999999999
Why Tesla Is One Stock I'd Avoid in 2023,"12/26/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Derivation of harmonised high-level safety requirements for self-driving cars using railway experience,"12/26/2022, 08:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Tesla stock marks lowest close in years as investors worry about Musk’s focus,"12/27/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Why Tesla Stocks Dropped So Much in 2022,"12/27/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Bitcoin beats Tesla stock in 2022 as BTC price heads for 60% losses,"12/28/2022, 08:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
"'Big Short' Michael Burry in 2022: Crash, Recession, Stocks, Tesla","12/29/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Tesla shares are down 70% for the year as Morgan Stanley cuts price target,"12/29/2022, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
Tesla's 2022 Stock Plunge Is Worth Most Automakers Combined,"12/29/2022, 08:00 AM, +0000 UTC",0.3,0.7,0.09,0.4899999999999999
Tesla stock: A look at a very bad 2022 for Elon Musk’s EV company,"12/30/2022, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
"Tesla stock closes out worst year ever with a 65% loss in 2022, wiping out more than $700 billion in market cap","12/30/2022, 08:00 AM, +0000 UTC",0.05,0.95,0.0025,0.9025
"Tesla Stock Fell 65% in 2022, Its Biggest-Ever Annual Decline","12/30/2022, 08:00 AM, +0000 UTC",0.0,1.0,0.0,1.0
Tesla’s “Shanghai Panel” Heads to Texas and Attempts to Fix Cybertruck Production,"12/30/2022, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
Rocky ride: Tesla stock down 70% in 2022,"01/01/2023, 08:00 AM, +0000 UTC",0.05,0.95,0.0025,0.9025
Tesla shares plunge 13 percent on growth concerns,"01/03/2023, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Tesla Stock Falls After Deliveries Miss 2022 Target,"01/03/2023, 08:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Tesla stock plummeted 12% in a single day. Here's why,"01/04/2023, 08:00 AM, +0000 UTC",0.1,0.9,0.01,0.81
