Title,Sentiment Score
"Wall Street today: S&P 500 set for worst day since 2022, tech-heavy Nasdaq crashes 3% on weak US jobs data",0.1
"Dow tumbles 1,000 points, S&P 500 posts worst day since 2022 in global market sell-off: Live updates",0.05
"Markets News, September 6, 2024: Stocks Tumble After Jobs Report, Led by Tech Selloff; Nasdaq Has Worst Week Since Early 2022",0.1
Tesla Stock Price Levels to Watch After EV Maker's 32% Third-Quarter Gain,0.8
"A Tesla trader turned $65,000 into $306 million before losing it all, according to a lawsuit",0.2
'Trump Trade': Election news leads to biggest 1-day stock market gain in 2 years,0.8
"Markets News, November 6, 2024: Stocks Surge to Record Highs After Trump Wins Election; Tesla, Banks, Crypto Among Big Gainers",0.8
Tesla Reclaims $1 Trillion Market Cap For First Time Since 2022 In Huge Trump Run,0.8
Tesla hits a $1 trillion market cap after the stock rallies 27% following Trump's election win,0.8
Tesla Stock Nears 400 For First Time Since 2022,0.7
"Dow tumbles nearly 900 points, Nasdaq suffers worst day since 2022 as recession fears erupt: Live updates",0.05
"Stock market today: Dow sinks 900 points, Nasdaq plunges 4% in worst day since 2022",0.05
Just How Bad is the Stock Market's Current Sell-Off?,0.2
"Markets News, March 10, 2025: Stocks Plunge as Tariffs, Talk of Recession Dent Sentiment; Tesla Tumbles to Lead Nasdaq to Worst Day Since 2022",0.1
"Stock Market News for Monday, March 10, 2025: Why Is the Stock Market Dropping; Trump Recession Fears; MicroStrategy, Tesla, Nvidia, DoorDash, More Movers",0.2
Stock market today: S&P 500 tumbles most since 2022 as Wall Street mulls Trump economic pain threshold,0.2
"Stock market today: Nasdaq heads for worst day since 2022, Dow sinks 1,000 points as stock sell-off intensifies",0.05
"Tech's $750 bn meltdown: Apple, Tesla, Meta face record market bloodbath",0.05
Watch These D-Wave Quantum Price Levels After Stock Surges to Highest Level Since 2022,0.8
Why Nvidia Stock Is on Track to Have Its Worst Quarter Since 2022,0.2
"Markets News, March 20, 2025: Stocks Close Slightly Lower as Rebound Rally Stumbles; Accenture Plunges as Government Spending Cuts Weigh on Revenue",0.25
"Markets News, March 31, 2025: Stocks Recover From Early Selloff to Close Mixed; S&P 500, Nasdaq Wrap Up Worst Month Since 2022",0.4
Tesla Vs. BYD: Tesla Deliveries Due Amid Brand 'Destruction'; Earnings Jump For Fast-Charging Rival,0.45
"Tesla plunges 36% in first quarter, worst performance for any period since 2022",0.0
"Stock Market News for Monday, March 31, 2025: The S&P 500 Rallied for the Day to End a Dismal Quarter",0.6
S&P 500 marks its worst quarter since 2022 amid tariff and inflation fears,0.2
"Stock market today: Dow gains 400 points, stocks reverse losses as markets cap worst quarter since 2022",0.7
Tesla Sales Drop to Lowest Since 2022 Amid Musk Backlash,0.2
"Markets News, April 2, 2025: Stocks Plunge in Extended Trading After Rising Ahead of Trump Tariff Announcement",0.2
